Name,rel_date,price
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Silence,11-15-2016,$29.99$14.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
Bayonetta,04-11-2017,$19.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99$7.49
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Star Trek Online,01-31-2012,0
Earthfall,04-26-2017,$29.99
Sid Meier’s Civilization VI,10-20-2016,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Scanner Sombre,04-26-2017,$11.99$9.59
Factorio,02-25-2016,$20.00
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
Stardew Valley,02-26-2016,$14.99
Stellaris,05-9-2016,$39.99
RimWorld,07-15-2016,$29.99
Portal Knights,02-25-2016,$14.99$11.24
Dungeon Fighter Online,08-9-2016,0
NBA 2K17,09-20-2016,$59.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
LEGO Batman,10-10-2008,$19.99$4.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Silence,11-15-2016,$29.99$14.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
Bayonetta,04-11-2017,$19.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99$7.49
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Star Trek Online,01-31-2012,0
Earthfall,04-26-2017,$29.99
Sid Meier’s Civilization VI,10-20-2016,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Scanner Sombre,04-26-2017,$11.99$9.59
Factorio,02-25-2016,$20.00
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
Stardew Valley,02-26-2016,$14.99
Stellaris,05-9-2016,$39.99
RimWorld,07-15-2016,$29.99
Portal Knights,02-25-2016,$14.99$11.24
Dungeon Fighter Online,08-9-2016,0
NBA 2K17,09-20-2016,$59.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
LEGO Batman,10-10-2008,$19.99$4.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Silence,11-15-2016,$29.99$14.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
Bayonetta,04-11-2017,$19.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99$7.49
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Star Trek Online,01-31-2012,0
Earthfall,04-26-2017,$29.99
Sid Meier’s Civilization VI,10-20-2016,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Scanner Sombre,04-26-2017,$11.99$9.59
Factorio,02-25-2016,$20.00
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
Stardew Valley,02-26-2016,$14.99
Stellaris,05-9-2016,$39.99
RimWorld,07-15-2016,$29.99
Portal Knights,02-25-2016,$14.99$11.24
Dungeon Fighter Online,08-9-2016,0
NBA 2K17,09-20-2016,$59.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
LEGO Batman,10-10-2008,$19.99$4.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Silence,11-15-2016,$29.99$14.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
Bayonetta,04-11-2017,$19.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99$7.49
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Star Trek Online,01-31-2012,0
Earthfall,04-26-2017,$29.99
Sid Meier’s Civilization VI,10-20-2016,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Scanner Sombre,04-26-2017,$11.99$9.59
Factorio,02-25-2016,$20.00
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
Stardew Valley,02-26-2016,$14.99
Stellaris,05-9-2016,$39.99
RimWorld,07-15-2016,$29.99
Portal Knights,02-25-2016,$14.99$11.24
Dungeon Fighter Online,08-9-2016,0
NBA 2K17,09-20-2016,$59.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
LEGO Batman,10-10-2008,$19.99$4.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Silence,11-15-2016,$29.99$14.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
Bayonetta,04-11-2017,$19.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99$7.49
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Star Trek Online,01-31-2012,0
Earthfall,04-26-2017,$29.99
Sid Meier’s Civilization VI,10-20-2016,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Scanner Sombre,04-26-2017,$11.99$9.59
Factorio,02-25-2016,$20.00
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
Stardew Valley,02-26-2016,$14.99
Stellaris,05-9-2016,$39.99
RimWorld,07-15-2016,$29.99
Portal Knights,02-25-2016,$14.99$11.24
Dungeon Fighter Online,08-9-2016,0
NBA 2K17,09-20-2016,$59.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
LEGO Batman,10-10-2008,$19.99$4.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Silence,11-15-2016,$29.99$14.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
Bayonetta,04-11-2017,$19.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99$7.49
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Batman : Arkham VR,04-25-2017,$19.99
Star Trek Online,01-31-2012,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Sid Meier’s Civilization VI,10-20-2016,$59.99
Factorio,02-25-2016,$20.00
Scanner Sombre,04-26-2017,$11.99$9.59
RimWorld,07-15-2016,$29.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Portal Knights,02-25-2016,$14.99$11.24
Stellaris,05-9-2016,$39.99
Stardew Valley,02-26-2016,$14.99
The Elder Scrolls V: Skyrim Special Edition,10-27-2016,$39.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
LEGO Batman,10-10-2008,$19.99$4.99
Dungeon Fighter Online,08-9-2016,0
Silence,11-15-2016,$29.99$14.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
NBA 2K17,09-20-2016,$59.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Batman : Arkham VR,04-25-2017,$19.99
Star Trek Online,01-31-2012,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Sid Meier’s Civilization VI,10-20-2016,$59.99
Factorio,02-25-2016,$20.00
Scanner Sombre,04-26-2017,$11.99$9.59
RimWorld,07-15-2016,$29.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Portal Knights,02-25-2016,$14.99$11.24
Stellaris,05-9-2016,$39.99
Stardew Valley,02-26-2016,$14.99
The Elder Scrolls V: Skyrim Special Edition,10-27-2016,$39.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
LEGO Batman,10-10-2008,$19.99$4.99
Dungeon Fighter Online,08-9-2016,0
Silence,11-15-2016,$29.99$14.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
NBA 2K17,09-20-2016,$59.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Batman : Arkham VR,04-25-2017,$19.99
Star Trek Online,01-31-2012,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Sid Meier’s Civilization VI,10-20-2016,$59.99
Factorio,02-25-2016,$20.00
Scanner Sombre,04-26-2017,$11.99$9.59
RimWorld,07-15-2016,$29.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Portal Knights,02-25-2016,$14.99$11.24
Stellaris,05-9-2016,$39.99
Stardew Valley,02-26-2016,$14.99
The Elder Scrolls V: Skyrim Special Edition,10-27-2016,$39.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
LEGO Batman,10-10-2008,$19.99$4.99
Dungeon Fighter Online,08-9-2016,0
Silence,11-15-2016,$29.99$14.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
NBA 2K17,09-20-2016,$59.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Batman : Arkham VR,04-25-2017,$19.99
Star Trek Online,01-31-2012,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Sid Meier’s Civilization VI,10-20-2016,$59.99
Factorio,02-25-2016,$20.00
Scanner Sombre,04-26-2017,$11.99$9.59
RimWorld,07-15-2016,$29.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Portal Knights,02-25-2016,$14.99$11.24
Stellaris,05-9-2016,$39.99
Stardew Valley,02-26-2016,$14.99
The Elder Scrolls V: Skyrim Special Edition,10-27-2016,$39.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
LEGO Batman,10-10-2008,$19.99$4.99
Dungeon Fighter Online,08-9-2016,0
Silence,11-15-2016,$29.99$14.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
NBA 2K17,09-20-2016,$59.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Batman : Arkham VR,04-25-2017,$19.99
Star Trek Online,01-31-2012,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Sid Meier’s Civilization VI,10-20-2016,$59.99
Factorio,02-25-2016,$20.00
Scanner Sombre,04-26-2017,$11.99$9.59
RimWorld,07-15-2016,$29.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Portal Knights,02-25-2016,$14.99$11.24
Stellaris,05-9-2016,$39.99
Stardew Valley,02-26-2016,$14.99
The Elder Scrolls V: Skyrim Special Edition,10-27-2016,$39.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
LEGO Batman,10-10-2008,$19.99$4.99
Dungeon Fighter Online,08-9-2016,0
Silence,11-15-2016,$29.99$14.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
NBA 2K17,09-20-2016,$59.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Batman : Arkham VR,04-25-2017,$19.99
Star Trek Online,01-31-2012,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
Sid Meier’s Civilization VI,10-20-2016,$59.99
Factorio,02-25-2016,$20.00
Scanner Sombre,04-26-2017,$11.99$9.59
RimWorld,07-15-2016,$29.99
Tom Clancy's Ghost Recon Wildlands,03-6-2017,$59.99
What Remains of Edith Finch,04-24-2017,$19.99
Rick and Morty: Virtual Rick-ality,04-20-2017,$29.99
TERA,05-5-2015,0
The Witcher 3: Wild Hunt,05-18-2015,$39.99
Portal Knights,02-25-2016,$14.99$11.24
Stellaris,05-9-2016,$39.99
Stardew Valley,02-26-2016,$14.99
The Elder Scrolls V: Skyrim Special Edition,10-27-2016,$39.99
LEGO Batman 2 DC Super Heroes ,06-22-2012,$19.99$4.99
LEGO Batman 3: Beyond Gotham,11-11-2014,$29.99$7.49
LEGO Batman,10-10-2008,$19.99$4.99
Dungeon Fighter Online,08-9-2016,0
Silence,11-15-2016,$29.99$14.99
Ultimate Epic Battle Simulator,04-12-2017,$15.99
NBA 2K17,09-20-2016,$59.99
Counter-Strike: Global Offensive,08-21-2012,$14.99
PLAYERUNKNOWN'S BATTLEGROUNDS,03-23-2017,$29.99
Outlast 2,04-24-2017,$29.99
SMITE,09-8-2015,0
Rocket League,07-6-2015,$19.99
BlazBlue Centralfiction,04-25-2017,$39.99$35.99
The Long Dark,09-22-2014,$19.99$9.99
Batman : Arkham Knight,06-23-2015,$19.99$7.99
Warframe,03-25-2013,0
NieR:Automata ,03-17-2017,$59.99
H1Z1: King of the Kill,02-17-2016,$19.99
Team Fortress 2,10-10-2007,0
Batman: Arkham City - Game of the Year Edition,09-7-2012,$19.99$4.99
Space Engineers,10-23-2013,$24.99
War Thunder,08-15-2013,0
Sniper Ghost Warrior 3,04-24-2017,$49.99
FINAL FANTASY XIV: A Realm Reborn ,02-18-2014,$19.99
DRAGON QUEST HEROES  II,04-25-2017,$59.99
Tom Clancy's Rainbow Six Siege,12-1-2015,$14.99
Dota 2,07-9-2013,0
Batman: Arkham Asylum Game of the Year Edition,03-26-2010,$19.99$4.99
Halo Wars: Definitive Edition,04-20-2017,$19.99
Grand Theft Auto V,04-13-2015,$59.99
Earthfall,04-26-2017,$29.99
Street Fighter V,02-15-2016,$39.99
Batman : Arkham VR,04-25-2017,$19.99
Star Trek Online,01-31-2012,0
Batman : Arkham Origins,10-25-2013,$19.99$4.99
Fallout Shelter,03-29-2017,0
Path of Exile,10-23-2013,0
